"venue_id","name","capacity","grass","city","state","zip","country_code","location.x","location.y","elevation","year_constructed","dome","timezone"
3777,"Joe Walton Stadium",  3000,FALSE,"Moon Township","PA","15108","US",  40.521046, -80.215923,"351.4482422",2005,FALSE,"America/New_York"
3778,"John F. Kennedy Stadium",  5200,FALSE,"Springfield","MO","19148","US",  37.191041, -93.301713,"385.9",1957,FALSE,"America/Chicago"
3725,"Johnny Red"""" Floyd Stadium""""", 30788,FALSE,"Murfreesboro","TN","37132","US",  35.851146, -86.368165,"191.7279816",1933,FALSE,"America/Chicago"
3781,"Johnny Unitas Stadium", 11200,FALSE,"Towson","MD","21252","US",  39.388568, -76.615972,"117.6974106",1978,FALSE,"America/New_York"
4728,"John O'Quinn Field at TDECU Stadium", 40000,FALSE,"Houston","TX","77004","US",  29.721988, -95.349162,"9.57440567",2014,FALSE,"America/Chicago"
3782,"Johnson Hagood Stadium", 11427,TRUE,"Charleston","SC","29403","US",  32.793698, -79.955818,"4.137742996",1948,FALSE,"America/New_York"
3784,"Jones AT&T Stadium", 60454,FALSE,"Lubbock","TX","79409","US",  33.591052,-101.872882,"980.7632446",1947,FALSE,"America/Chicago"
3785,"Jordan-Hare Stadium", 87451,TRUE,"Auburn","AL","36849","US",  32.602553, -85.489748,"201.1737976",1939,FALSE,"America/Chicago"
3662,"JSU Stadium", 24000,FALSE,"Jacksonville","AL","36265","US",  33.820105, -85.766470,"198.0679016",1947,FALSE,"America/Chicago"
3786,"Kelly/Shorts Stadium", 30255,FALSE,"Mount Pleasant","MI","48859","US",  43.577731, -84.770990,"240.9007721",1972,FALSE,"America/Detroit"
3787,"Kenan Memorial Stadium", 50500,FALSE,"Chapel Hill","NC","27515","US",  35.906929, -79.047889,"127.7569809",1927,FALSE,"America/New_York"
3788,"Kenneth P. LaValle Stadium", 12300,FALSE,"Stony Brook","NY","11790","US",  40.918883, -73.124297,"32.63183975",2002,FALSE,"America/New_York"
4900,"Kermit Tipton Stadium",  6600,FALSE,"Johnson City","TN","37604","US",  36.326933, -82.371014,"544.1551514",2010,FALSE,"America/New_York"
3790,"Kessler Field",  4000,FALSE,"West Long Branch","NJ","7764 ","US",  40.279379, -74.009264,"9.979202271",1993,FALSE,"America/New_York"
5389,"Kessler Stadium",  4200,FALSE,"West Long Branch","NJ","7764 ","US",  40.278953, -74.009451,"9.9",1993,FALSE,"America/New_York"
3791,"Kibbie Dome", 16000,FALSE,"Moscow","ID","83843","US",  46.726292,-117.017371,"794.4794922",1975,TRUE,"America/Los_Angeles"
3792,"Kidd Brewer Stadium", 30000,FALSE,"Boone","NC","28608","US",  36.211427, -81.685428,"991.3414307",1962,FALSE,"America/New_York"
3793,"Kinnick Stadium", 69250,FALSE,"Iowa City","IA","52242","US",  41.658605, -91.551083,"220.6357727",1929,FALSE,"America/Chicago"
3795,"Kyle Field",102733,TRUE,"College Station","TX","77843","US",  30.609889, -96.340383,"108.824585",1927,FALSE,"America/Chicago"
3797,"Ladd Peebles Stadium", 33471,FALSE,"Mobile","AL","36695","US",  30.673037, -88.075570,"9.828813553",1948,FALSE,"America/Chicago"
3798,"Lambeau Field", 80735,TRUE,"Greenbay","WI","54304","US",  44.501310, -88.062273,"192.3498077",1957,FALSE,"America/Chicago"
3799,"Lane Stadium", 65632,FALSE,"Blacksburg","VA","24061","US",  37.219987, -80.418064,"632.2631226",1965,FALSE,"America/New_York"
3801,"LaVell Edwards Stadium", 63470,FALSE,"Provo","UT","84602","US",  40.257535,-111.654525,"1412.097046",1964,FALSE,"America/Denver"
3802,"Lawrence A. Wien Stadium", 17000,FALSE,"Manhattan","NY","10034","US",  40.873270, -73.916459,"10.95070267",1984,FALSE,"America/New_York"
3803,"Legion Field", 72000,FALSE,"Birmingham","AL","35294","US",  33.511389, -86.842778,"174.6382141",1927,FALSE,"America/Chicago"
  36,"Leonidoff Field",  5000,FALSE,"Poughkeepsie","NY","12601","US",  41.719141, -73.932955,"24.94474983",1968,FALSE,"America/New_York"
4738,"Levi's Stadium", 68500,FALSE,"Santa Clara","CA","95054","US",  37.403000,-121.970000,"4.531901836",2014,FALSE,"America/Los_Angeles"
3805,"Liberty Bowl Memorial Stadium", 58325,FALSE,"Memphis","TN","38152","US",  35.120943, -89.977147,"90.62445831",1965,FALSE,"America/Chicago"
3806,"Lincoln Financial Field", 69879,FALSE,"Philadelphia","PA","19122","US",  39.900799, -75.167541,"3.198706865",2003,FALSE,"America/New_York"
 477,"Los Angeles Memorial Coliseum", 77500,TRUE,"Los Angeles","CA","90089","US",  34.014167,-118.287778,"42.50374222",1923,FALSE,"America/Los_Angeles"
3809,"Louis Crews Stadium", 21000,FALSE,"Huntsville","AL","35810","US",  34.783536, -86.578413,"214.9181061",1996,FALSE,"America/Chicago"
3811,"Lubbers Stadium", 10444,FALSE,"Allendale","MI","49401","US",  42.968996, -85.894735,"205.8",1973,FALSE,"America/Detroit"
3812,"Lucas Oil Stadium", 63000,FALSE,"Indianapolis","IN","46225","US",  39.760056, -86.163806,"216.3370361",2008,TRUE,"America/Indiana/Indianapolis"
3816,"Mackay Stadium", 27000,FALSE,"Reno","NV","89557","US",  39.546946,-119.817543,"1406.57605",1966,FALSE,"America/Los_Angeles"
3817,"Malone Stadium", 30427,FALSE,"Monroe","LA","71209","US",  32.530809, -92.066060,"22.998209",1978,FALSE,"America/Chicago"
3779,"Manning Field at John L. Guidry Stadium", 10500,FALSE,"Thibodaux","LA","70301","US",  29.786725, -90.804550,"3.23726368",1972,FALSE,"America/Chicago"
4223,"Marlins Park", 34000,TRUE,"Miami","FL","33125","US",  25.778056, -80.219722,"1.853350639",2012,FALSE,"America/New_York"
3820,"Martin Stadium", 32952,FALSE,"Pullman","WA","99164","US",  46.731831,-117.160499,"773.9526367",1972,FALSE,"America/Los_Angeles"
3665,"Maryland Stadium", 51802,FALSE,"College Park","MD","20742","US",  38.990333, -76.947379,"32.68748093",1950,FALSE,"America/New_York"
4727,"McLane Stadium", 45140,FALSE,"Waco","TX","76704","US",  31.558201, -97.115670,"117.0538101",2014,FALSE,"America/Chicago"
