link,name
https://247sports.com/college/wyoming/,Wyoming Cowboys
https://247sports.com/college/appalachian-state/,Appalachian State Mountaineers
https://247sports.com/college/arkansas-state/,Arkansas State Red Wolves
https://247sports.com/college/coastal-carolina/,Coastal Carolina Chanticleers
https://247sports.com/college/georgia-southern/,Georgia Southern Eagles
https://247sports.com/college/georgia-state/,Georgia State Panthers
https://247sports.com/college/louisiana/,Louisiana Ragin' Cajuns
https://247sports.com/college/louisiana-monroe/,Louisiana-Monroe Warhawks
https://247sports.com/college/south-alabama/,South Alabama Jaguars
https://247sports.com/college/texas-state/,Texas State Bobcats
https://247sports.com/college/troy/,Troy Trojans
https://247sports.com/college/cal-poly/,Cal Poly Mustangs
https://247sports.com/college/eastern-washington/,Eastern Washington Eagles
https://247sports.com/college/idaho-state/,Idaho State Bengals
https://247sports.com/college/idaho/,Idaho Vandals
https://247sports.com/college/montana/,Montana Grizzlies
https://247sports.com/college/montana-state/,Montana State Bobcats
https://247sports.com/college/northern-arizona/,Northern Arizona Lumberjacks
https://247sports.com/college/northern-colorado/,Northern Colorado Bears
https://247sports.com/college/portland-state/,Portland State Vikings
https://247sports.com/college/sacramento-state/,Sacramento State Hornets
https://247sports.com/college/southern-utah/,Southern Utah Thunderbirds
https://247sports.com/college/uc-davis/,UC Davis Aggies
https://247sports.com/college/weber-state/,Weber State Wildcats
https://247sports.com/college/charleston-southern/,Charleston Southern Buccaneers
https://247sports.com/college/gardner-webb/,Gardner-Webb Runnin' Bulldogs
https://247sports.com/college/kennesaw-state/,Kennesaw State Owls
https://247sports.com/college/monmouth/,Monmouth Hawks
https://247sports.com/college/ncat/,North Carolina A&T Aggies
https://247sports.com/college/presbyterian/,Presbyterian Blue Hose
https://247sports.com/college/albany/,Albany Great Danes
https://247sports.com/college/delaware/,Delaware Fightin' Blue Hens
https://247sports.com/college/elon/,Elon Phoenix
https://247sports.com/college/james-madison/,James Madison Dukes
https://247sports.com/college/maine/,Maine Black Bears
https://247sports.com/college/new-hampshire/,New Hampshire Wildcats
https://247sports.com/college/rhode-island/,Rhode Island Rams
https://247sports.com/college/richmond/,Richmond Spiders
https://247sports.com/college/stony-brook/,Stony Brook Seawolves
https://247sports.com/college/towson/,Towson Tigers
https://247sports.com/college/villanova/,Villanova Wildcats
https://247sports.com/college/wm/,William & Mary Tribe
https://247sports.com/college/brown/,Brown Bears
https://247sports.com/college/columbia/,Columbia Lions
https://247sports.com/college/cornell/,Cornell Big Red
https://247sports.com/college/dartmouth/,Dartmouth Big Green
https://247sports.com/college/harvard/,Harvard Crimson
https://247sports.com/college/pennsylvania/,Pennsylvania Quakers
https://247sports.com/college/princeton/,Princeton Tigers
https://247sports.com/college/yale/,Yale Bulldogs
https://247sports.com/college/bethune-cookman/,Bethune-Cookman Wildcats
https://247sports.com/college/delaware-state/,Delaware State Hornets
https://247sports.com/college/famu/,Florida A&M Rattlers
https://247sports.com/college/hampton/,Hampton Pirates
https://247sports.com/college/howard/,Howard Bison
https://247sports.com/college/morgan-state/,Morgan State Golden Bears
https://247sports.com/college/norfolk-state/,Norfolk State Spartans
https://247sports.com/college/nccu/,North Carolina Central Eagles
https://247sports.com/college/savannah-state/,Savannah State Tigers
https://247sports.com/college/south-carolina-state/,South Carolina State Bulldogs
https://247sports.com/college/illinois-state/,Illinois State Redbirds
https://247sports.com/college/indiana-state/,Indiana State Sycamores
https://247sports.com/college/missouri-state/,Missouri State Bears
https://247sports.com/college/north-dakota/,North Dakota Fighting Hawks
https://247sports.com/college/north-dakota-state/,North Dakota State Bison
https://247sports.com/college/northern-iowa/,Northern Iowa Panthers
https://247sports.com/college/south-dakota/,South Dakota Coyotes
https://247sports.com/college/south-dakota-state/,South Dakota State Jackrabbits
https://247sports.com/college/southern-illinois/,Southern Illinois Salukis
https://247sports.com/college/western-illinois/,Western Illinois Leathernecks
https://247sports.com/college/youngstown-state/,Youngstown State Penguins
